Draw,Date,Winning Number 1,2,3,4,5,6,7,Powerball ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize
1392,2023-01-19,3,19,21,30,32,34,35,1,"3,30,34",19,4,3,1,1,2,3,0,0,4,81683.15,36,5546.4,711,510.6,1466,185.75,22010,80,29952,46.05,139185,19.55,411625,11.6
1391,2023-01-12,3,10,18,22,29,30,34,5,,,2,5,2,1,3,1,0,0,0,0,31,13110.4,602,465.6,1222,172.05,17911,75.9,23758,44.85,115654,18.2,337048,10.95
1390,2023-01-05,5,7,9,13,21,27,35,6,9,5,7,0,3,1,2,1,1,4574542.86,23,10227.35,27,5324.1,735,355.6,1467,133.6,19540,64.85,29172,34.05,114472,17.1,317001,10.85
1389,2022-12-29,4,6,9,22,23,24,26,18,23,,2,5,3,0,4,0,3,33333333.34,33,47444.2,187,5116.55,3555,489.35,7949,164.15,117341,71.9,153881,42.95,733654,17.8,2099107,10.9
1388,2022-12-22,5,7,18,21,23,28,31,4,"7,21",,5,2,2,1,3,1,0,0,3,287740.4,85,6206.15,1980,484.4,4680,153.7,66003,70.5,90528,40.25,407066,17.65,1159933,10.85
1387,2022-12-15,1,7,19,21,22,26,34,2,"19,21",,4,3,2,1,3,1,0,0,3,189907.35,80,4352.05,1275,496.5,2752,172.5,40850,75.15,53746,44.75,259017,18.35,748110,11.15
1386,2022-12-08,4,10,14,18,19,21,35,11,4,,3,4,2,3,1,1,0,0,2,218488.6,56,4768.6,968,501.6,2308,157.8,33185,70.95,41598,44.35,207267,17.55,604033,10.55
1385,2022-12-01,2,4,5,7,8,29,34,15,,,3,4,5,0,1,1,0,0,3,95726.15,31,5661.2,636,501.7,1435,166.75,21167,73.1,29153,41.6,132499,18.05,382922,10.95
1384,2022-11-24,6,9,14,25,27,31,33,15,"6,14,33",,5,2,2,1,2,2,1,50000000,26,31222.55,96,5167.6,2067,436.35,4060,166.6,58575,74.7,77760,44.1,368453,18.35,1072162,11.05
1383,2022-11-17,1,5,6,7,14,19,33,17,"5,14",,5,2,4,2,0,1,0,0,7,83057.8,68,5225.05,1344,480.65,2899,167.15,43254,72.45,56414,43.5,271405,17.85,781431,10.85
1382,2022-11-10,3,5,14,15,17,22,32,7,"22,32",,4,3,2,3,1,1,0,0,5,100853.35,58,5313.15,1026,546.1,2454,171.25,37222,73,46912,45.4,239404,17.55,706215,10.45
1381,2022-11-03,2,6,8,12,22,24,32,2,"2,12",,0,7,3,1,2,1,0,0,3,102562.3,60,3133.85,1013,337.5,1887,135.9,23470,70.65,33055,39.3,139344,18.4,397042,11.3
1380,2022-10-27,2,4,7,10,12,18,34,7,,,1,6,4,2,0,1,3,53333333.34,42,77258.2,442,4486.35,7595,474.7,17958,150.6,257447,67.9,330859,41.4,1581260,17.1,4487999,10.55
1379,2022-10-20,6,11,14,17,24,25,33,18,25,,4,3,1,3,2,1,0,0,15,139057.9,278,4585.25,4835,479.35,10746,161.75,155487,72.3,206083,42.75,971564,17.9,2790042,10.9
1378,2022-10-13,1,13,16,18,25,31,35,2,35,13,5,2,1,3,1,2,0,0,8,110500.85,102,5296.35,2051,478.9,4207,175.1,62638,76.05,82498,45.25,393268,18.75,1149143,11.25
1377,2022-10-06,3,4,6,14,17,28,35,10,35,6,3,4,3,2,1,1,0,0,7,77169.25,64,5158,1305,459.95,2592,173.65,39067,74.5,50137,45.5,250312,18,729526,10.8
1376,2022-09-29,9,12,15,16,19,20,35,4,"15,35",,4,3,1,5,0,1,0,0,3,136268.45,43,5809.9,810,560.8,1988,171.35,29439,74.85,37517,46,187256,18.2,547774,10.9
1375,2022-09-22,10,15,21,24,26,28,35,8,"10,35",,3,4,1,1,4,1,0,0,1,257971.35,35,4504.25,705,406.55,1290,166.65,19276,72.1,23883,45.6,120818,17.8,355602,10.6
1374,2022-09-15,2,9,10,13,22,31,35,15,"13,31",,4,3,3,1,1,2,1,8000000,2,142272.2,38,4576,886,356.85,1430,165.8,20542,74.65,27634,43.5,129607,18.3,378428,11
1373,2022-09-08,13,15,21,23,25,30,31,10,15,,6,1,0,2,4,1,1,40000000,2,349847.55,73,5857.4,1514,513.5,3303,176.55,49778,75.75,64773,45.6,320523,18.2,936313,10.9
1372,2022-09-01,3,4,10,12,15,26,34,20,"4,12",,2,5,3,2,1,1,0,0,3,150770.25,59,4684.95,950,529,2273,165.85,32617,74.75,43555,43.85,207921,18.15,603618,10.95
1371,2022-08-25,4,8,12,16,25,31,32,17,4,25,2,5,2,2,1,2,0,0,2,144820.5,26,6807.8,753,427.4,1484,162.65,21029,74.2,28075,43.55,131474,18.35,381946,11.1
1370,2022-08-18,1,2,4,20,22,23,27,20,"22,23",,3,4,3,1,3,0,0,0,2,113992.4,22,6332.9,495,511.75,1203,157.95,17358,70.8,21292,45.2,109994,17.25,314419,10.6
1369,2022-08-11,5,9,18,22,23,28,30,3,23,,3,4,2,1,4,0,1,20000000,22,20424.7,48,5720.8,1057,472.35,2339,160.1,34012,71.2,43952,43.15,214630,17.45,615994,10.65
1368,2022-08-04,6,11,13,17,21,23,32,15,23,,5,2,1,3,2,1,0,0,3,92357.6,30,5644.1,667,461.55,1530,150.9,21301,70.1,30127,38.85,129751,17.8,365964,11.05
1367,2022-07-28,5,9,10,19,23,24,34,13,"9,24",,4,3,3,1,2,1,0,0,0,0,25,14186.5,565,432.9,1128,162.65,17489,67.85,21621,43,108798,16.85,313599,10.25
1366,2022-07-21,2,7,8,9,24,25,26,9,26,,3,4,4,0,3,0,1,4645690.25,3,79597.95,46,3172.4,680,390.2,1385,143.7,20348,63.25,24738,40.75,121374,16.4,338440,10.3
1365,2022-07-14,1,6,17,20,26,33,35,5,6,,4,3,2,2,1,2,1,10467587.98,1,310006.05,33,5740.85,615,560.1,1465,176.35,21693,77,28707,45.6,140165,18.45,414520,10.95
1364,2022-07-07,3,6,13,14,16,28,30,11,"6,16",,2,5,2,3,2,0,0,0,3,76284.15,19,7360.75,519,489.95,1200,158.95,17806,69.25,21968,44,110293,17.3,319697,10.45
1363,2022-06-30,1,6,11,16,17,22,29,2,22,,4,3,2,3,2,0,1,60000000,24,36924.15,130,4165.8,2503,393.4,4716,156.6,66382,71.95,92013,40.65,415441,17.8,1181572,10.95
1362,2022-06-23,2,7,9,10,22,31,35,19,,,4,3,4,0,1,2,0,0,1,654795.05,74,5407.45,1419,512.7,3409,160.05,50325,70.1,64466,42.9,322817,16.9,900736,10.6
