Draw,Date,Winning Number 1,2,3,4,5,6,7,Powerball ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize
1298,2021-04-01,1,7,13,23,25,26,27,15,25,1,6,1,2,1,4,0,0,0,3,141345,47,5513.45,1071,439.9,2221,159.1,32422,70.5,44142,40.55,199657,17.7,569741,10.85
1297,2021-03-25,10,12,14,15,16,21,25,5,16,25,3,4,1,4,2,0,0,0,0,0,31,13910,637,466.85,1317,169.35,18964,76.05,24090,46.9,122691,18.2,360069,10.85
1296,2021-03-18,6,16,18,29,30,33,35,4,,18,3,4,1,2,2,2,1,50000000,26,30636.75,88,5531.65,1666,531.25,3827,173.45,56221,76.35,75522,44.55,353373,18.8,1039743,11.2
1295,2021-03-11,1,8,14,17,19,21,26,20,1,,4,3,2,3,2,0,0,0,5,103324.35,65,4857.15,1186,484,2694,159.8,38997,71.4,52538,41.5,241343,17.85,692921,10.9
1294,2021-03-04,1,6,7,18,22,28,33,4,33,,3,4,3,1,2,1,0,0,2,211017.6,53,4866.25,1008,465.2,2121,165.8,31552,72.1,41466,42.95,195722,17.95,565691,10.9
1293,2021-02-25,11,17,19,20,23,25,33,3,"19,25",25,6,1,0,4,2,1,0,0,3,87191.45,40,3996.25,631,460.6,1435,151.9,21332,66.1,26385,41.85,128888,16.9,360579,10.6
1292,2021-02-18,3,13,16,19,22,25,30,10,16,,4,3,1,3,3,0,1,50000000,9,99074.45,125,4359.3,2228,444.7,4802,154.75,67702,70.95,91147,41.3,414590,17.9,1190360,10.95
1291,2021-02-11,1,7,16,20,26,29,32,14,29,,3,4,2,2,2,1,0,0,3,185924.2,65,5244,1171,529.25,2671,174,39262,76.55,52745,44.65,250522,18.55,731133,11.15
1290,2021-02-04,2,6,18,29,30,33,34,8,"6,30",,2,5,2,1,2,2,0,0,1,420539.7,49,5244.85,913,511.8,1935,181.1,29955,75.65,36654,48.45,193228,18.15,577294,10.65
1289,2021-01-28,6,10,12,13,16,20,30,11,6,,1,6,2,4,1,0,0,0,2,126321.75,32,4824.8,659,425.95,1282,164.2,19165,71.05,24739,43.1,120487,17.45,345263,10.7
1288,2021-01-21,6,15,19,22,27,29,35,14,27,,5,2,1,2,3,1,2,10000000,23,19320.65,49,5542.1,1092,452.15,2307,160.5,32537,73.6,44666,42,201653,18.35,580857,11.2
1287,2021-01-14,1,2,17,20,26,27,31,14,"2,17,20",,4,3,2,2,2,1,0,0,6,45680.2,33,5075.6,464,656.3,1230,185.7,18943,77.95,24647,46.95,122074,18.7,360218,11.1
1286,2021-01-07,2,3,7,17,20,22,23,5,"2,7",7,4,3,3,2,2,0,0,0,1,194573.1,28,4246.65,532,406.4,1154,140.5,16450,63.75,23997,34.25,97090,16.7,269136,10.55
1285,2020-12-31,1,2,7,8,11,16,28,7,11,,3,4,4,2,1,0,1,9835085.97,3,96412,53,3335,832,386.25,1954,123.35,26580,58.65,33291,36.7,156889,15.35,422000,10
1284,2020-12-24,4,9,11,12,21,29,32,2,"4,9,29",,4,3,2,2,2,1,0,0,0,0,20,17435.1,479,502.05,1106,163.1,16015,72.85,21285,42.95,100021,18.05,283824,11.15
1283,2020-12-17,4,5,9,16,17,29,33,13,"4,9",17,5,2,3,2,1,1,1,20000000,4,114951.65,60,4683.2,1086,470.45,2409,159.05,34778,71.25,44196,43.95,221328,17.3,643455,10.45
1282,2020-12-10,4,8,9,11,14,19,20,19,,,3,4,3,4,0,0,0,0,7,40741.25,54,3227.45,849,373.25,1848,128.6,24820,61.9,31554,38.15,148671,16,409071,10.2
1281,2020-12-03,1,12,15,17,21,28,29,17,21,,5,2,1,3,3,0,0,0,2,101427.95,24,5165.3,476,473.5,961,175.9,14485,75.45,18020,47.55,94164,17.95,269368,11
1280,2020-11-26,3,7,20,21,25,30,31,2,"7,30",,5,2,2,1,3,1,1,20000000,5,91498.55,57,4904.9,974,521.9,2218,171.9,32774,75.2,44404,43.5,208826,18.25,605370,11.05
1279,2020-11-19,1,7,12,13,26,30,34,11,,,3,4,2,2,2,1,0,0,4,66812.15,37,4414,562,528.35,1358,164,20277,71,24557,45.95,127912,17.4,376114,10.4
1278,2020-11-12,6,9,11,14,19,23,24,20,"14,24",,4,3,2,3,2,0,0,0,1,199206.4,24,5072.4,439,504.2,1139,145.75,15684,68.45,21627,38.9,96069,17.3,274098,10.6
1277,2020-11-05,2,3,13,14,21,24,35,12,"2,24",,4,3,2,2,2,1,1,20000000,2,223815.45,44,6217.1,986,504.45,2217,168.25,32873,73.4,42984,43.95,207485,18,605425,10.8
1276,2020-10-29,1,2,10,16,24,28,31,19,"1,10,16,31",,2,5,3,1,2,1,0,0,4,70902.05,30,5777.2,565,557.75,1334,177.15,20154,75.85,25552,46.85,129505,18.25,382643,10.85
1275,2020-10-22,1,5,6,10,16,19,31,10,31,,4,3,4,2,0,1,0,0,3,72288.7,44,3012.05,582,414,1267,142.65,17178,68.05,21699,42.2,104213,17.35,293528,10.8
1274,2020-10-15,2,7,9,15,27,31,32,7,9,15,5,2,3,1,1,2,1,40000000,25,28028.1,104,4117.35,1693,459.85,4162,140.3,57336,65.85,74868,39.5,343267,17,983095,10.4
1273,2020-10-08,9,10,11,17,19,20,35,3,11,,5,2,2,4,0,1,0,0,3,162745.4,59,5057.05,1224,443.2,2702,150.6,38303,68.7,51331,40.15,237612,17.1,668167,10.7
1272,2020-10-01,11,15,16,18,22,26,30,4,11,,2,5,0,4,3,0,0,0,5,62507.45,35,5457,647,536.75,1535,169.65,22571,74.6,30275,43.6,142530,18.25,416065,11
1271,2020-09-24,1,3,8,11,13,31,32,3,"3,11",,5,2,3,2,0,2,0,0,0,0,46,7838.15,611,406.95,1386,134.55,18503,65.2,24024,39.35,110074,16.95,308914,10.6
1270,2020-09-17,3,4,5,7,11,19,28,6,19,,5,2,4,2,1,0,1,60000000,26,35977.9,128,4466,2808,370.15,5362,145.4,76304,66.05,105773,37.35,454331,17.15,1267440,10.8
1269,2020-09-10,2,8,9,10,19,23,29,14,"9,23",10,4,3,4,1,2,0,0,0,4,169495.55,115,3602.8,2132,353.35,3817,148,52841,69.15,74908,38.2,323372,17.45,920738,10.75
1268,2020-09-03,1,3,9,13,17,23,32,19,"13,23",3,6,1,3,2,1,1,0,0,2,230492.95,77,3658.6,1465,349.65,2804,137,38146,65.1,50296,38.7,224700,17.1,630522,10.7
1267,2020-08-27,2,13,14,16,18,23,28,9,"18,23",,2,5,1,4,2,0,0,0,4,76184.6,54,3448.7,852,397.4,1585,160.2,22845,71.9,31042,41.45,143045,17.75,414240,10.75
1266,2020-08-20,8,12,17,18,21,23,35,1,,,4,3,1,3,2,1,0,0,1,215830.55,17,7758.6,449,534.1,1072,167.8,15422,75.4,22134,41.15,95488,18.85,274962,11.45
1265,2020-08-13,5,6,14,15,16,24,32,19,"5,14",,2,5,2,3,1,1,1,10307848.53,3,101726.35,34,5485.25,616,550.45,1403,181.25,20674,79.55,26620,48.4,135041,18.85,407251,10.95
1264,2020-08-06,5,7,14,18,23,27,33,7,27,,5,2,2,2,2,1,0,0,3,74929.75,32,4292.85,632,395.2,1418,132.1,19993,60.6,24817,38.25,119371,15.7,329412,9.95
1263,2020-07-30,3,9,19,24,27,30,35,1,"3,9",30,5,2,2,1,3,1,1,20000000,3,168287.25,70,4407.5,1301,431.15,2604,161.55,37006,73.5,54054,39.45,227701,18.5,652383,11.3
1262,2020-07-23,3,7,9,16,17,28,32,6,32,,4,3,3,2,1,1,0,0,3,97234,46,3875.25,857,378.2,1535,158.35,22224,70.75,30542,40.35,137683,17.65,392417,10.85
1261,2020-07-16,11,14,18,23,26,32,34,5,"26,32",,2,5,0,3,2,2,0,0,5,45569.35,32,4351.25,601,421.25,1199,158.35,17097,71.8,22185,43.35,107509,17.65,312624,10.65
1260,2020-07-09,2,21,26,28,31,32,33,12,"21,26",,3,4,1,0,3,3,1,80000000,6,204822.85,133,5646.75,2692,507.25,5858,174.8,87093,76.05,108951,47.65,555628,18.45,1644065,10.9
1259,2020-07-02,1,6,10,15,16,21,26,19,,,3,4,3,2,2,0,0,0,4,197292.35,109,4424.5,2119,413.8,4193,156.85,57662,73.75,79944,41.7,358821,18.35,1047460,11
1258,2020-06-25,8,12,18,20,24,27,35,17,24,,2,5,1,3,2,1,0,0,5,109607.2,64,5233,1293,470.95,2889,158.1,41255,71.6,55997,41.3,254024,18,728900,11
1257,2020-06-18,7,14,17,22,24,28,32,1,"14,17,22,28",,2,5,1,2,3,1,0,0,3,120931.05,52,4263.6,1004,401.5,1741,173.65,25420,76.9,37295,41.05,160427,18.85,459669,11.55
1256,2020-06-11,1,14,17,22,26,28,33,9,"1,17",,3,4,1,2,3,1,0,0,3,94867.4,39,4459.6,660,479.15,1502,157.9,20966,73.15,26948,44.6,132656,17.9,384504,10.8
1255,2020-06-04,1,5,10,12,17,20,27,13,10,,4,3,3,3,1,0,0,0,4,51378.45,42,2990.3,676,337.8,1315,130.25,17622,62.85,23813,36.45,106374,16.1,296407,10.15
1254,2020-05-28,9,10,21,24,25,30,32,19,"9,30,32",,3,4,2,0,4,1,1,17361060.3,3,140440.65,52,4951.45,865,541.2,2066,169.95,30426,74.6,37605,47.3,191300,18.35,565261,10.9
1253,2020-05-21,7,8,9,18,23,30,32,4,"8,23",,3,4,3,1,2,1,0,0,5,55214.35,33,5112.45,661,464.05,1320,174.3,20116,73.95,26661,43.7,129430,17.75,373382,10.8
1252,2020-05-14,3,4,8,22,23,24,31,15,23,,3,4,3,0,3,1,0,0,1,195455.75,16,7465.3,387,561.15,886,183.85,14143,74.45,18165,45.45,91526,17.8,265731,10.75
1251,2020-05-07,9,12,16,23,26,29,35,10,9,,4,3,1,2,3,1,1,8948153.83,4,65273.35,51,3128.55,796,364.45,1371,158.7,19478,72.25,26757,41.2,120690,18.05,348856,10.95
1250,2020-04-30,6,9,17,25,28,32,34,10,"6,32",,3,4,2,1,2,2,0,0,2,99839.25,24,5084.4,458,484.4,957,173.9,13900,77.4,18550,45.45,88212,18.85,262074,11.15
1249,2020-04-23,3,6,7,14,18,32,35,2,18,,3,4,3,2,0,2,1,23686120.08,3,155140.1,51,5576.95,1057,489.25,2249,172.45,32846,76.35,44407,44.25,207980,18.65,607422,11.2
1248,2020-04-16,8,12,15,18,19,24,25,18,"12,18,19",,3,4,1,4,2,0,0,0,3,108849.9,38,5251.55,746,486.35,1708,159.3,24512,71.8,31285,44.05,152388,17.85,432085,11.05
1247,2020-04-09,2,4,12,18,19,27,34,11,19,,2,5,2,3,1,1,0,0,3,83402,30,5096.8,544,511.05,1320,157.95,19081,70.65,24601,42.95,121848,17.1,351168,10.4
1246,2020-04-02,1,3,14,17,19,22,26,18,"1,14",,4,3,2,3,2,0,0,0,5,35188.05,17,6324.65,445,439.3,855,171.5,12683,74.75,17440,42.6,80286,18.25,231697,11.1
1245,2020-03-26,1,12,14,16,21,27,29,7,"1,12,27",,4,3,1,3,3,0,1,80000000,5,188293.35,104,5532.1,1969,531.25,4896,160.25,70626,71.85,90052,44.15,447807,17.5,1301356,10.55
1244,2020-03-19,1,10,11,12,18,20,27,20,"10,20",,3,4,2,4,1,0,0,0,11,65938.85,109,4066.55,1983,406.4,3921,154.15,56526,69.15,72424,42.3,350618,17.25,993540,10.65
1243,2020-03-12,10,17,19,20,26,28,33,2,"10,28,33",,3,4,1,3,2,1,0,0,5,107856.4,66,4993.35,1463,409.55,2713,165.65,38351,75.8,52284,43.55,243517,18.45,704084,11.2
1242,2020-03-05,10,16,23,24,27,28,33,12,"16,24",,3,4,1,1,4,1,0,0,7,59062.85,55,4593.8,1043,440.45,2018,170.75,30176,73.85,38433,45.4,192067,17.95,560051,10.8
1241,2020-02-27,1,9,16,17,22,24,31,2,"1,31",,4,3,2,2,2,1,0,0,1,320535.65,23,8516.65,643,553.9,1533,174.25,21987,78.55,29593,45.75,140878,18.95,413765,11.3
1240,2020-02-20,1,3,12,13,21,26,31,19,,,5,2,2,2,2,1,0,0,1,242787.4,35,4239.15,731,369.05,1353,149.55,18239,71.75,26324,38.95,112922,17.9,326773,10.85
1239,2020-02-13,2,5,7,14,25,29,32,3,2,,4,3,3,1,2,1,0,0,2,80938.8,29,3411.2,415,433.4,940,143.5,12979,67.2,16517,41.4,76255,17.7,216769,10.9
1238,2020-02-06,1,2,3,11,15,26,35,17,35,,5,2,3,2,1,1,1,60000000,3,250887.1,78,5896.9,1677,498.7,3641,172.25,54715,74.15,70580,45.05,348573,18,1014365,10.85
1237,2020-01-30,5,8,9,17,20,22,35,16,5,,4,3,3,2,1,1,0,0,7,73043.3,58,5387.3,1350,420.85,2589,164.6,38164,72.2,52860,40.85,240119,17.75,684079,10.9
1236,2020-01-23,4,5,10,13,23,27,28,4,28,23,4,3,3,1,3,0,0,0,4,95881.9,57,4111.9,886,480.95,2296,139.2,31216,66.2,42753,37.9,189978,16.8,528973,10.6
1235,2020-01-16,7,14,16,20,21,25,28,11,7,16,3,4,1,3,3,0,0,0,4,72206.75,50,3530.1,787,407.75,1675,143.7,22720,68.5,29495,41.35,141335,17.05,409406,10.3
1234,2020-01-09,3,4,7,9,24,29,31,2,"3,9",9,5,2,4,0,2,1,0,0,1,228118.7,34,4100.15,600,422.45,1145,166.05,17120,71.8,23797,40.45,105483,18,301449,11.05
1233,2020-01-02,2,3,9,21,25,27,35,4,"9,27",2,6,1,3,0,3,1,0,0,1,160070.8,25,3912.85,454,391.75,784,170.15,11498,75,15871,42.6,74318,17.95,216322,10.8
1232,2019-12-26,7,9,12,17,23,26,27,2,9,26,5,2,2,2,3,0,1,24297756.97,4,70132.6,39,4395.75,706,441.5,1743,134.1,22513,67.15,33514,35.35,136267,17.15,375979,10.9
1231,2019-12-19,4,8,9,10,11,29,32,18,"9,11",,3,4,4,1,1,1,0,0,2,143954.05,24,7331,546,585.9,1365,175.75,21624,71.75,28308,42.95,137835,17.4,393468,10.7
1230,2019-12-12,9,11,15,16,18,28,35,9,,,4,3,1,4,1,1,0,0,1,282828.5,43,4019.55,598,525.5,1458,161.65,22374,68.1,26810,44.55,140354,16.8,398247,10.4
1229,2019-12-05,14,19,20,27,29,30,32,6,"20,30",,3,4,0,3,3,1,0,0,0,0,36,10269.35,639,399,1098,174.15,16465,75.1,20643,46.95,104447,18.3,304461,11
1228,2019-11-28,4,12,18,20,21,23,30,1,"12,23",,2,5,1,3,3,0,0,0,2,84614.15,17,6083.35,405,464.3,809,174.3,12043,75.7,17380,41.1,74913,18.8,216127,11.45
1227,2019-11-21,1,2,3,12,13,23,25,1,,,5,2,3,2,2,0,1,40000000,24,22660.1,74,4491.2,1383,436.95,2886,157.05,40820,71.8,53910,42.6,257324,17.6,735819,10.8
1226,2019-11-14,8,10,20,24,26,28,32,6,10,,0,7,2,1,3,1,0,0,5,90686.65,60,4618.3,1198,420.55,2254,167.65,33795,72.3,45569,42,210245,17.95,611004,10.85
1225,2019-11-07,3,7,10,12,13,21,33,4,"10,33",7,5,2,3,2,1,1,0,0,4,85303.45,42,4964.75,951,398.65,1900,149.65,27183,67.65,38970,36.95,164327,17.3,463236,10.75
1224,2019-10-31,9,10,16,18,22,29,33,8,,,3,4,2,2,2,1,0,0,2,127463.9,33,4720.9,614,461.3,1258,168.85,19082,72,24236,44.4,120430,17.65,354238,10.5
1223,2019-10-24,1,7,11,12,19,24,30,7,7,24,4,3,2,3,2,0,0,0,2,111307.15,31,4388.45,572,432.45,1407,131.85,20000,60,23756,39.55,119768,15.5,330150,9.85
1222,2019-10-17,2,6,7,9,21,22,25,12,6,,4,3,4,0,3,0,0,0,0,0,19,13926.3,372,490.55,887,154.3,13082,67.65,16214,42.75,81373,16.8,231819,10.35
1221,2019-10-10,3,6,11,16,27,28,35,10,11,,4,3,2,2,2,1,1,12000000,5,48370.65,37,3994.55,641,419.25,1341,150.3,19131,68.15,25507,40.05,118833,16.95,343462,10.3
1220,2019-10-03,2,11,15,20,22,25,29,3,"22,25",,4,3,1,3,3,0,0,0,5,40687.35,91,1366.2,1330,169.95,1633,103.8,16978,64.55,26464,32.45,98361,17.25,279707,10.65
1219,2019-09-26,9,22,25,26,27,30,33,19,26,26,4,3,1,0,5,1,0,0,1,171425.5,17,6162.35,317,600.85,839,170.25,12560,73.55,14960,48.4,81056,17.6,239193,10.45
1218,2019-09-19,4,5,8,17,18,26,31,9,31,,3,4,3,2,1,1,3,50000000,18,125916.9,267,5187.6,5202,484.1,11919,158.45,172994,70.6,227514,42.05,1088866,17.35,3141324,10.55
1217,2019-09-12,10,11,20,27,28,30,31,2,27,,3,4,1,2,3,1,0,0,8,173767.85,159,5342.95,3229,478.35,6912,167.6,101351,73.9,136600,42.95,645901,17.95,1866572,10.9
1216,2019-09-05,2,4,14,16,19,27,29,13,27,,3,4,2,3,2,0,0,0,10,92407.7,110,5133.75,2091,491.05,4736,162.6,71905,69.25,90614,43.05,446796,17.25,1296267,10.4
1215,2019-08-29,8,9,11,20,22,27,32,20,11,,3,4,2,2,2,1,0,0,4,153796.2,113,3326.95,1903,359.2,3454,148.4,49561,66.9,65943,39.4,302196,16.95,853711,10.55
1214,2019-08-22,3,7,10,11,17,26,35,19,"7,35",,5,2,3,2,1,1,0,0,5,89142.2,68,4005.55,1319,375.45,2645,140.45,37779,63.6,50866,37,222717,16.7,623492,10.45
1213,2019-08-15,7,14,21,24,27,30,35,13,30,,4,3,1,1,4,1,0,0,8,41924.85,50,4099.3,886,420.6,2086,134,27501,65.7,36893,38.4,165668,16.85,477907,10.25
1212,2019-08-08,1,5,11,16,17,29,30,8,30,,5,2,2,3,2,0,0,0,3,85717.95,36,4365.25,736,388.2,1462,146.6,20061,69.1,26635,40.75,126093,17,366146,10.25
1211,2019-08-01,9,15,22,23,25,30,35,6,"9,22,23",,5,2,1,1,4,1,0,0,1,197107.1,20,6022.7,369,593.5,1069,153.65,14289,74.35,18894,44.05,90084,18.25,262937,10.95
1210,2019-07-25,1,3,9,11,22,23,24,4,"1,11,23",,5,2,3,1,3,0,0,0,7,22779.65,15,6496.4,382,463.8,879,151.15,12128,70.85,17348,38.8,76530,17.35,217870,10.7
1209,2019-07-18,1,6,11,13,16,23,27,11,"6,27",,5,2,2,3,2,0,3,36666666.67,34,49276.1,257,3983.85,4530,410.95,9758,143.1,135958,66.4,176773,40,832131,16.8,2359734,10.35
1208,2019-07-11,6,7,8,21,27,28,34,16,"21,27,28",,3,4,3,0,3,1,0,0,9,91728.9,123,4101.7,2037,450.3,4174,164.8,60754,73.25,78934,44.15,387051,17.75,1116612,10.8
1207,2019-07-04,2,15,20,21,22,27,28,3,"2,21,27",,3,4,1,2,4,0,0,0,9,65674.75,66,5472.9,1364,481.5,3010,163.65,43578,73.1,57116,43.7,274778,17.95,803923,10.75
1206,2019-06-27,2,7,17,21,27,32,35,7,17,27,5,2,2,1,2,2,0,0,7,60619.35,79,3282.5,1141,413.2,2976,118.8,37412,61.1,46186,38.8,217480,16.25,606172,10.25
1205,2019-06-20,4,10,14,16,17,19,34,13,17,,2,5,2,4,0,1,0,0,0,0,37,13545.7,780,443.15,1622,159.85,23701,70.75,31378,41.85,150487,17.25,441650,10.3
1204,2019-06-13,1,5,8,11,17,23,25,3,"8,11",,6,1,3,2,2,0,0,0,3,84792.55,47,3307.5,900,314.05,1575,134.6,21477,63.85,30324,35.4,126515,16.75,351157,10.6
1203,2019-06-06,2,7,8,11,31,33,35,20,31,,5,2,3,1,0,3,0,0,2,105172.1,19,6765.45,354,660.2,1167,150.2,17078,66.35,21225,41.85,104160,16.85,292316,10.5
1202,2019-05-30,4,10,14,17,22,31,34,7,"10,17",,2,5,2,2,1,2,0,0,2,85758.95,29,3614.35,495,385,974,146.75,13630,67.8,16901,42.85,83151,17.2,243413,10.3
1201,2019-05-23,6,7,10,16,17,20,30,4,17,,2,5,3,3,1,0,0,0,2,68922.65,26,3239.95,374,409.5,717,160.2,10262,72.4,14803,39.3,63734,18,183381,11
1200,2019-05-16,1,11,13,17,24,34,35,19,17,,5,2,1,3,1,2,1,8000000,2,93464.35,20,5711.7,421,493.35,944,165,14019,71.85,18076,43.65,89301,17.45,261133,10.45
1199,2019-05-09,5,15,17,18,19,26,29,2,,,5,2,1,4,2,0,0,0,0,0,11,20046.95,307,495.4,691,165.05,10006,73.7,13988,41.3,61233,18.65,175181,11.4
1198,2019-05-02,2,4,6,8,9,11,33,4,"2,9,11,33",2,3,4,5,1,0,1,1,30000000,5,76689.3,49,4782.2,1106,385.2,2310,138.35,31166,66.3,43054,37.6,187156,17.05,521494,10.75
1197,2019-04-25,2,5,9,11,23,25,33,6,"2,11",25,6,1,3,1,2,1,0,0,1,253892.75,41,3784.3,656,430.05,1344,157.4,19814,69.05,27387,39.15,120965,17.5,343117,10.8
1196,2019-04-18,1,2,4,11,17,21,30,2,,,4,3,3,2,2,0,0,0,0,0,21,19109.1,525,527.15,1251,165.9,18462,72.7,24994,42.1,114391,18.15,325190,11.2
1195,2019-04-11,8,15,18,19,20,22,32,9,,,2,5,1,4,1,1,0,0,2,99243.55,27,4492.5,516,427.4,1001,165.25,15159,70.55,20165,41.55,94925,17.4,275204,10.55
1194,2019-04-04,2,12,14,16,21,25,33,4,25,,3,4,1,3,2,1,0,0,0,0,27,9066.1,367,460,682,185.65,10609,77.2,13018,49.3,68085,18.6,202801,10.95
1193,2019-03-28,4,5,25,26,27,30,34,18,"27,30",,3,4,2,0,4,1,1,20000000,20,14681.25,27,6645.8,542,601.95,1264,193.6,20192,78.35,25277,49.05,134648,18.15,398580,10.75
1192,2019-03-21,3,14,20,27,29,30,31,7,"20,27",,4,3,1,2,3,1,0,0,2,113492,20,6935.6,523,482.25,1147,164.9,17397,70.3,21307,45,110709,17.1,324670,10.2
1191,2019-03-14,2,5,8,17,20,24,27,6,"20,27",,3,4,3,2,2,0,0,0,1,184477.8,21,5368.4,481,426.15,966,159.15,14328,69.4,19830,39.3,86690,17.75,248009,10.85
1190,2019-03-07,4,6,9,13,20,23,27,2,"4,13",,4,3,3,2,2,0,0,0,3,50084.85,21,4372.5,460,362.95,853,146.8,11014,73.5,17198,36.9,68132,18.4,194611,11.3
1189,2019-02-28,2,4,5,7,11,13,14,14,4,,4,3,4,3,0,0,1,40000000,6,83887.8,79,3893.55,1456,384.1,2774,151.2,39169,69.25,53646,39.6,242604,17.3,686745,10.7
1188,2019-02-21,3,4,12,16,21,25,27,8,"3,21",21,4,3,2,2,3,0,0,0,3,142767.15,63,4154.6,1116,426.45,2299,155.25,33165,69.6,43222,41.85,206269,17.3,595898,10.5
1187,2019-02-14,3,6,10,11,21,23,34,5,"6,11",,4,3,3,1,2,1,0,0,3,116883.25,51,4201.7,900,432.9,1886,154.95,26893,70.25,35530,41.65,169378,17.25,488453,10.5
1186,2019-02-07,6,11,17,20,22,24,32,19,22,,2,5,1,3,2,1,0,0,5,56212.75,21,8179.1,551,566.75,1493,156.9,21712,69.75,27924,42.5,135553,17.3,390650,10.5
1185,2019-01-31,10,19,22,28,29,31,34,10,"19,29",31,3,4,1,1,3,2,0,0,1,203054.95,19,6531,547,412.45,1148,147.4,16085,68.05,21282,40.3,98977,17.1,278077,10.65
1184,2019-01-24,2,8,17,19,23,29,35,3,,,5,2,2,2,2,1,0,0,0,0,29,8655,588,294.4,1009,128.65,12828,65.45,18837,34.9,76356,17,213233,10.7
1183,2019-01-17,4,11,18,20,22,26,33,9,,,2,5,1,3,2,1,1,107575649.08,20,94792.9,262,4422.05,4861,433.35,10151,155.65,145122,70.4,193224,41.45,900437,17.55,2602198,10.65
1182,2019-01-10,3,7,10,24,28,31,34,14,7,10,3,4,3,0,2,2,0,0,15,81533.3,154,4853.15,3192,425.7,6769,150.55,92436,71.3,125074,41.3,576846,17.65,1663378,10.75
1181,2019-01-03,7,8,11,12,19,25,33,13,"7,8",,5,2,2,3,1,1,0,0,6,115772.9,105,4042.85,2033,379.65,3908,148.1,56342,66.45,72618,40.4,350324,16.5,994951,10.2
1180,2018-12-27,5,7,8,9,17,18,29,19,"5,9",,5,2,4,2,1,0,0,0,4,98969.15,39,6203.2,901,488.2,2175,151.7,31735,67.2,41792,40,197043,16.75,550874,10.5
1179,2018-12-20,5,9,13,19,20,24,32,15,24,20,4,3,2,3,1,1,0,0,6,59793.2,49,4474.3,934,426.8,1870,159.85,27243,70.95,36073,42,169622,17.65,488282,10.75
1178,2018-12-13,7,8,15,24,26,28,35,13,26,,3,4,2,1,3,1,0,0,2,167715.4,40,5124.65,842,442.65,1809,154.5,26520,68.15,33722,42,168179,16.6,482565,10.15
1177,2018-12-06,3,5,6,14,20,26,33,19,"3,5,20,33",6,3,4,3,2,1,1,0,0,1,268392.4,30,5467.25,575,518.65,1395,160.35,19723,73.35,25041,45.25,124895,17.9,364221,10.75
1176,2018-11-29,3,5,17,20,22,29,33,12,"3,17,29,33",29,5,2,2,2,2,1,0,0,2,106534.15,27,4822.55,438,540.5,1164,152.55,16336,70.3,20947,42.95,102727,17.3,296472,10.5
1175,2018-11-22,3,14,17,28,29,33,34,17,29,,4,3,1,2,2,2,0,0,3,49422.25,17,5329.85,345,477.5,714,173.05,11069,72.2,13604,46,70206,17.6,199577,10.85
1174,2018-11-15,2,7,16,18,23,25,29,20,"23,29",,4,3,2,2,3,0,1,3000000,1,149108.3,33,2761.25,480,345.15,837,148.45,11633,69.05,16001,39.35,70754,17.55,205542,10.6
1173,2018-11-08,12,15,17,23,29,30,35,10,"17,30,35",,5,2,0,3,3,1,1,60000000,2,381369.65,92,5066.5,1794,472.4,3911,162.5,58097,70.75,75350,42.75,363499,17.5,1051085,10.6
1172,2018-11-01,4,8,11,17,24,30,35,3,11,,3,4,2,2,2,1,0,0,10,46564.65,61,4664.95,1237,418.25,2548,152.3,35416,70.85,49201,39.95,221880,17.5,638166,10.65
1171,2018-10-25,9,11,13,25,26,28,29,12,"25,29",25,5,2,1,2,4,0,0,0,1,373451.7,50,4564.4,783,529.95,1824,170.6,28922,69.6,36241,43.5,182612,17.05,524963,10.4
1170,2018-10-18,7,10,17,25,29,33,35,5,,,6,1,2,1,2,2,0,0,6,53440.3,37,5295.9,911,391.05,1766,151.3,24571,70.3,33353,40.6,154918,17.25,442266,10.6
1169,2018-10-11,13,20,21,23,27,30,32,13,"21,32",,4,3,0,2,4,1,0,0,1,249083.2,38,4005.7,627,441.4,1570,132.2,21483,62.5,25727,40.9,131648,15.75,370920,9.8
1168,2018-10-04,3,11,21,22,24,28,32,7,"21,22",,3,4,1,1,4,1,0,0,4,46978.15,16,7177.2,501,416.75,1011,154.9,15308,66.15,18399,43.1,98016,16,279696,9.8
1167,2018-09-27,5,10,15,19,21,22,30,3,"10,30",,4,3,2,2,3,0,0,0,2,70691.55,24,3600.05,364,431.55,752,156.65,11215,67.95,14819,40.3,68688,17.15,195921,10.55
1166,2018-09-20,2,6,8,10,17,20,30,8,"2,17",20,1,6,4,2,1,0,1,30000000,6,66327.2,53,4588.65,1243,355.75,2485,133.45,33345,64.3,43677,38.45,198764,16.7,569124,10.2
1165,2018-09-13,1,2,17,19,22,34,35,11,,,4,3,2,2,1,2,0,0,3,99187.25,33,5510.4,683,484.1,1533,161.75,23317,68.75,29030,43.3,147833,16.75,432330,10.05
1164,2018-09-06,7,14,18,21,23,25,27,20,,,5,2,1,2,4,0,0,0,2,117563.3,29,4954.8,615,424.8,1297,151.05,18782,67.45,26141,38,116670,16.8,330822,10.4
